"isInterpolated","useMicroData","CountryCode","CountryName","RegionCode","CoverageType","RequestYear","DataYear","DataType","PPP","PovertyLine","Mean","HeadCount","PovGap","PovGapSqr","Watts","Gini","Median","pr.mld","Polarization","ReqYearPopulation","SvyInfoID","Decile1","Decile2","Decile3","Decile4","Decile5","Decile6","Decile7","Decile8","Decile9","Decile10"
0,1,"GAB","Gabon","SSA","N","1981","2005","X",359.2185,1.9,272.8996,0.03367961,0.007389493,0.00274049,0.009558887,0.4218499,193.9296,0.3011957,-1,0.747587,"GAB_N2005X",0.02273,0.03547,0.04551,0.0551,0.06559,0.07806,0.09424,0.1166,0.1553,0.3315
0,1,"GMB","Gambia, The","SSA","N","1981","1998","X",10.82647,1.9,61.93506,0.6684278,0.3297681,0.200027,0.5548018,0.4851946,39.70208,0.4216336,-1,0.625411,"GMB_N1998X",0.01505,0.02806,0.0383,0.04731,0.05804,0.071,0.08886,0.1139,0.1628,0.3766
0,0,"GEO","Georgia","ECA","N","1981","1996","X",0.8419071,1.9,821.8526,0,0,0,0,0.3713271,665.6621,0.2404084,0.3201177,4.5045,"GEO_N1996X",0.02326,0.03802,0.05077,0.06272,0.07474,0.08775,0.1031,0.1234,0.1569,0.2793
0,1,"DEU","Germany","OHI","N","1981","1991","Y",0.8180292,1.9,1101.351,0,0,0,0,0.292449,944.9376,0.141901,-1,78.407907,"DEU_N1991Y",0.03671,0.05144,0.06057,0.07011,0.08004,0.09153,0.1058,0.1239,0.1506,0.2293
0,0,"GHA","Ghana","SSA","N","1981","1987.5","X",0.7880217,1.9,85.17499,0.3836861,0.1247463,0.05539425,0.1752022,0.3534958,69.17584,0.210925,0.3003567,11.117605,"GHA_N1987X",0.0282,0.04146,0.0531,0.06415,0.07536,0.08757,0.102,0.1214,0.1533,0.2734
0,1,"GRC","Greece","OHI","N","1981","2003","Y",0.7582539,1.9,585.6333,0.007485849,0.00466206,0.004031098,0.00416686,0.3276078,502.7141,0.2000485,-1,9.72935,"GRC_N2003Y",0.02752,0.0448,0.05622,0.06762,0.07924,0.09238,0.107,0.1258,0.1539,0.2456
0,0,"GTM","Guatemala","LAC","N","1981","1986.5","Y",3.873239,1.9,129.9469,0.4307048,0.2000378,0.118781,0.3307488,0.582569,69.15387,0.6371542,0.5438552,7.466488,"GTM_N1986Y",0.009956,0.01767,0.02614,0.0357,0.04689,0.0606,0.0786,0.1049,0.1523,0.4673
0,0,"GIN","Guinea","SSA","N","1981","1991","X",2572.343,1.9,23.86715,0.9161959,0.6187152,0.4703483,1.394895,0.4684305,17.2495,0.4509828,0.4905278,4.589784,"GIN_N1991X",0.008884,0.02151,0.03452,0.04841,0.06383,0.0818,0.1041,0.1348,0.1848,0.3174
0,0,"GNB","Guinea-Bissau","SSA","N","1981","1991","X",248.2358,1.9,104.129,0.4743145,0.253555,0.1738586,0.4697269,-1,-1,-1,-1,0.814507,"GNB_N1991X",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,0,"GUY","Guyana","LAC","N","1981","1992.5","Y",133.2612,1.9,145.4164,0.2767338,0.0998106,0.04872956,0.1454561,-1,-1,-1,-1,0.781732,"GUY_N1992Y",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,0,"HND","Honduras","LAC","N","1981","1989","Y",10.08031,1.9,142.457,0.4163408,0.1874481,0.1073396,0.3030717,0.5949015,72.11435,0.6590374,0.5664028,3.792938,"HND_N1989Y",0.01041,0.01722,0.02492,0.03383,0.0445,0.05787,0.07576,0.1024,0.1513,0.4818
0,0,"HUN","Hungary","ECA","N","1981","1987","Y",137.8829,1.9,557.6801,0.0006332467,0.0006232467,0.0006132467,0,0.2095999,515.4447,0.07610319,-1.547441,10.711848,"HUN_N1987Y",0.04962,0.06457,0.07315,0.08084,0.08849,0.09661,0.1058,0.1172,0.1337,0.19
0,1,"ISL","Iceland","OHI","N","1981","2003","Y",138.895,1.9,975.0585,0,0,0,0,0.2683468,854.904,0.1261519,-1,0.230755,"ISL_N2003Y",0.03796,0.05699,0.06754,0.07535,0.08337,0.09247,0.1028,0.1172,0.1401,0.2262
0,0,"IND","India","SAS","A","1981","","X",14.97516,1.9,65.47389,0.574065,0.1854185,0.07990459,0.2540112,-1,-1,-1,-1,713.118032,"IND_R1977X",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,0,"IND","India","SAS","R","1981","","X",14.97516,1.9,59.55586,0.6314316,0.2092727,0.09157872,0.2891593,-1,-1,-1,-1,546.12718245,"IND_R1977X",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,0,"IND","India","SAS","U","1981","","X",14.97516,1.9,84.8282,0.3864532,0.1074055,0.04172547,0.1390627,-1,-1,-1,-1,166.99084955,"IND_U1977X",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,0,"IDN","Indonesia","EAP","A","1981","1984","X",4091.939,1.9,47.77906,0.7642713,0.3131987,0.1587199,0.4603086,-1,-1,-1,-1,150.97884,"IDN_R1984X",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,0,"IDN","Indonesia","EAP","R","1981","1984","X",4091.939,1.9,42.13149,0.8305876,0.352394,0.1816965,0.5232155,0.2921472,36.04,0.1405544,0.2385572,116.53301765,"IDN_R1984X",0.03871,0.05106,0.06147,0.07106,0.08061,0.09085,0.1028,0.1187,0.1447,0.2401
0,0,"IDN","Indonesia","EAP","U","1981","1984","X",4091.939,1.9,66.88524,0.5399179,0.1805979,0.08098827,0.2474898,0.3329345,54.64698,0.1837165,0.2753216,34.445822346,"IDN_U1984X",0.03351,0.04543,0.05598,0.06606,0.07632,0.08755,0.1009,0.1188,0.1486,0.2669
0,0,"IRN","Iran, Islamic Republic of","MNA","N","1981","1986","X",5001.363,1.9,249.2427,0.1014188,0.02612635,0.009950911,0.03318025,0.4741964,165.7714,0.391807,0.4271234,40.217629,"IRN_N1986X",0.01807,0.02777,0.03771,0.04829,0.06005,0.07384,0.09124,0.1158,0.1587,0.3686
0,1,"IRQ","Iraq","MNA","N","1981","2006.85","X",1003.799,1.9,132.8537,0.06363917,0.01122514,0.003163039,0.0133454,0.2860061,113.3101,0.1331823,-1,14.04654,"IRQ_N2006X",0.03946,0.05324,0.06278,0.07121,0.08033,0.09049,0.1026,0.1187,0.1449,0.2363
0,1,"IRL","Ireland","OHI","N","1981","2003","Y",0.9517142,1.9,640.9801,0.002425839,0.001352489,0.0007540596,0.001978012,0.3288572,533.7765,0.1858747,-1,3.453,"IRL_N2003Y",0.03068,0.04624,0.0578,0.06744,0.07757,0.08908,0.1024,0.121,0.149,0.2588
1,1,"ISR","Israel","OHI","N","1981","","Y",4.270233,1.9,592.1654,0.0006728586,0.0003103268,0.0001431247,-1,-1,-1,-1,-1,3.956,"ISR_N1979Y",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,1,"ITA","Italy","OHI","N","1981","2003","Y",0.8253945,1.9,847.1261,0.009994469,0.006667885,0.005394781,0.008654677,0.3492936,710.5751,0.2400935,-1,56.501675,"ITA_N2003Y",0.0232,0.04356,0.05535,0.0661,0.07757,0.09005,0.1039,0.1225,0.1512,0.2666
0,0,"JAM","Jamaica","LAC","N","1981","1988","X",63.35445,1.9,239.4699,0.0684431,0.01866944,0.008629201,0.02246573,0.4315502,172.6624,0.321432,0.3684725,2.197583,"JAM_N1988X",0.02142,0.03269,0.04346,0.05433,0.0659,0.07898,0.09499,0.117,0.1546,0.3366
